State,LGA,Ward,Ballots Issued,Ballots Used,Invalid Votes,Total Accredited,Total Registered,Valid Votes,A,AA,AAC,ADC,ADP,APC,APGA,APM,APP,BP,LP,NNPP,NRM,PDP,PRP,SDP,YP,YPP,ZLP,Polling Units,INEC Uploaded Results,INEC Upload Percent
Ekiti,ADO EKITI,ADO 'A'  IDOFIN,6142,1752,38,1745,6142,1708,10,0,0,38,3,1558,5,0,0,0,1,0,0,93,0,0,0,0,0,15,12,80.0
Ekiti,ADO EKITI,ADO 'B'  INISA,6846,1833,15,1831,6839,1816,0,1,2,45,4,1662,5,0,0,0,0,0,3,94,0,0,0,0,0,18,15,83.3
Ekiti,ADO EKITI,ADO 'C'  IDOLOFIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,100.0
Ekiti,ADO EKITI,ADO 'D' IJIGBO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,35,92.1
Ekiti,ADO EKITI,ADO 'E' IJOKA,122,76,2,76,122,74,0,0,0,2,0,64,0,0,0,0,0,0,0,8,0,0,0,0,0,18,18,100.0
Ekiti,ADO EKITI,ADO 'F' OKEYINMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,11,84.6
Ekiti,ADO EKITI,ADO 'G' OKE ILA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,19,86.4
Ekiti,ADO EKITI,ADO 'H' EREGURU,700,132,7,132,700,125,1,0,0,5,0,88,0,0,0,0,0,0,0,22,0,9,0,0,0,22,22,100.0
Ekiti,ADO EKITI,ADO 'I' DALLIMORE,900,162,4,156,893,152,0,1,0,4,0,127,0,0,0,0,0,0,0,18,1,0,0,0,1,55,49,89.1
Ekiti,ADO EKITI,ADO 'J' OKESA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,30,85.7
Ekiti,ADO EKITI,ADO 'K' IRONA,741,130,11,130,741,119,0,0,0,0,1,106,1,0,0,0,0,0,1,9,0,0,0,0,0,40,40,100.0
Ekiti,ADO EKITI,ADO 'L' IGBEHIN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,100.0
Ekiti,ADO EKITI,ADO 'M' FARM SETTLEMENT,1000,233,1,233,992,232,0,0,0,6,3,149,0,0,0,0,0,0,0,74,0,0,0,0,0,34,33,97.1
Ekiti,EFON,EFON    III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,7,70.0
Ekiti,EFON,EFON   I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,100.0
Ekiti,EFON,EFON   II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100.0
Ekiti,EFON,EFON   V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,16,88.9
Ekiti,EFON,EFON   VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100.0
Ekiti,EFON,EFON   VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,90.0
Ekiti,EFON,EFON   VIII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,83.3
Ekiti,EFON,EFON   X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,100.0
Ekiti,EFON,EFON  IV,347,129,1,129,347,128,0,0,0,1,0,110,0,0,0,0,0,0,0,17,0,0,0,0,0,16,16,100.0
Ekiti,EFON,EFON IX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Ekiti,EKITI EAST,ARAROMI OMUO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,28.6
Ekiti,EKITI EAST,ILASA I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,7,63.6
Ekiti,EKITI EAST,ILASA II / IKUN / ARAROMI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,10,83.3
Ekiti,EKITI EAST,ISINBODE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,75.0
Ekiti,EKITI EAST,KOTA   I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0.0
Ekiti,EKITI EAST,KOTA   II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,33.3
Ekiti,EKITI EAST,OBADORE  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,25.0
Ekiti,EKITI EAST,OBADORE  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,28.6
Ekiti,EKITI EAST,OBADORE  III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,37.5
Ekiti,EKITI EAST,OBADORE  IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,2,16.7
Ekiti,EKITI EAST,OMUO - OKE  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,40.0
Ekiti,EKITI EAST,OMUO OKE  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0.0
Ekiti,EKITI SOUTH WEST,IGBARA ODO   I,312,93,1,93,312,92,0,0,0,6,0,62,0,0,0,0,0,0,0,24,0,0,0,0,0,27,27,100.0
Ekiti,EKITI SOUTH WEST,IGBARA ODO  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,31,96.9
Ekiti,EKITI SOUTH WEST,ILAWE   III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,81.8
Ekiti,EKITI SOUTH WEST,ILAWE   IV,808,242,7,242,808,235,0,0,1,1,0,224,0,0,0,0,0,0,0,9,0,0,0,0,0,15,15,100.0
Ekiti,EKITI SOUTH WEST,ILAWE   V,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,100.0
Ekiti,EKITI SOUTH WEST,ILAWE  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,100.0
Ekiti,EKITI SOUTH WEST,ILAWE  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,100.0
Ekiti,EKITI SOUTH WEST,ILAWE  VI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100.0
Ekiti,EKITI SOUTH WEST,ILAWE  VII,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,100.0
Ekiti,EKITI SOUTH WEST,OGOTUN  I,337,111,4,111,337,107,0,0,0,1,0,102,0,0,0,0,0,0,0,4,0,0,0,0,0,24,23,95.8
Ekiti,EKITI SOUTH WEST,OGOTUN  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,16,100.0
Ekiti,EKITI WEST,ARAMOKO  I,241,107,7,107,241,100,0,0,0,2,0,93,0,0,0,0,0,0,0,5,0,0,0,0,0,23,22,95.7
Ekiti,EKITI WEST,ARAMOKO  II,179,51,2,51,179,49,0,0,0,2,0,37,0,0,0,0,0,0,0,10,0,0,0,0,0,29,29,100.0
Ekiti,EKITI WEST,ARAMOKO  III  / ERIO,332,181,1,181,332,180,0,0,0,1,1,109,0,0,0,0,0,1,0,68,0,0,0,0,0,26,25,96.2
Ekiti,EKITI WEST,ERIJIYAN  I,269,171,0,171,269,170,0,0,0,2,1,159,1,0,0,0,0,0,0,7,0,0,0,0,0,16,15,93.8
Ekiti,EKITI WEST,ERIJIYAN  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,5,83.3
Ekiti,EKITI WEST,IDO AJINARE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,9,75.0
Ekiti,EKITI WEST,IKOGOSI,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.9
Ekiti,EKITI WEST,IPOLE ILORO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100.0
Ekiti,EKITI WEST,OKEMESI   I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,95.0
Ekiti,EKITI WEST,OKEMESI   II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12,66.7
Ekiti,EKITI WEST,OKEMESI   III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12,100.0
Ekiti,EMURE,IDA MUDU  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,87.5
Ekiti,EMURE,IDAMUDU I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,100.0
Ekiti,EMURE,ODO - EMURE   I,193,193,0,193,467,193,0,0,0,14,0,156,0,0,0,0,0,0,1,22,0,0,0,0,0,8,8,100.0
Ekiti,EMURE,ODO - EMURE   II,441,216,0,215,441,215,0,0,0,12,3,198,0,0,0,0,0,0,0,2,0,0,0,0,0,5,4,80.0
Ekiti,EMURE,ODO - EMURE   III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,90.0
Ekiti,EMURE,ODO - EMURE   IV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.9
Ekiti,EMURE,OGBONTIORO  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,40.0
Ekiti,EMURE,OGBONTIORO  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,7,87.5
Ekiti,EMURE,OKE EMURE  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,80.0
Ekiti,EMURE,OKE EMURE  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,100.0
Ekiti,GBONYIN,AGBADO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,100.0
Ekiti,GBONYIN,AISEGBA  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.9
Ekiti,GBONYIN,AISEGBA  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Ekiti,GBONYIN,EGBE / IRO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,11,73.3
Ekiti,GBONYIN,IJAN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,100.0
Ekiti,GBONYIN,ILUOMOBA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,8,66.7
Ekiti,GBONYIN,IMESI,1318,357,13,464,1318,464,0,0,0,11,1,447,0,0,0,0,0,0,0,5,0,0,0,0,0,13,13,100.0
Ekiti,GBONYIN,ODE  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,88.9
Ekiti,GBONYIN,ODE  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Ekiti,GBONYIN,ODE  III,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,100.0
Ekiti,IDO / OSI,AYETORO  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,4,50.0
Ekiti,IDO / OSI,AYETORO  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,100.0
Ekiti,IDO / OSI,IDO  I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,19,95.0
Ekiti,IDO / OSI,IDO  II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,13,100.0
Ekiti,IDO / OSI,IFAKI I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100.0
Ekiti,IDO / OSI,IFAKI II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,12,92.3
Ekiti,IDO / OSI,IGBOLE / IFISIN / AAYE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,100.0
Ekiti,IDO / OSI,ILOGBO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,17,100.0
